Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
4C2_baselink,1.5645E-05,-4.1838E-06,0.038,0,0,0,0.072633,5.095E-05,-7.3167E-13,2.0229E-08,6.0883E-05,-4.5583E-09,1.933E-05,0,0,0,0,0,0,package://EG2-4C2/meshes/4C2_baselink.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://EG2-4C2/meshes/4C2_baselink.STL,,EG2-4C2-01(2)-1,4C2_linkbase,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
4C2_Link1,0.0087669,0.009,0.013992,0,0,0,0.0024292,5.1061E-07,-8.6739E-19,-2.508E-07,5.7398E-07,-1.3667E-18,2.6747E-07,0,0,0,0,0,0,package://EG2-4C2/meshes/4C2_Link1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://EG2-4C2/meshes/4C2_Link1.STL,,EG2-4C2-03(2)-1,4C2_link1,4C2_axis1,4C2_Joint1,revolute,-0.04,-0.009,0.079,0,0,0,4C2_baselink,0,-1,0,1,1,0,0.82,,,,,,,,
4C2_Link5,0.011864,0.006,0.011367,0,0,0,0.0045068,5.1288E-07,-9.8137E-14,-9.4703E-08,5.3203E-07,-6.212E-14,2.009E-07,0,0,0,0,0,0,package://EG2-4C2/meshes/4C2_Link5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://EG2-4C2/meshes/4C2_Link5.STL,,EG2-4C2-07(2)-1,4C2_link5,4C2_axis5,4C2_Joint5,revolute,0.0223,0.003,0.035591,0,0,0,4C2_Link1,0,1,0,1,1,0,0.82,,,,,,,,
4C2_Link2,0.0087435,0.009,0.013955,0,0,0,0.0038971,5.6941E-07,-1.0711E-18,-2.6891E-07,6.2305E-07,-1.6845E-18,3.0871E-07,0,0,0,0,0,0,package://EG2-4C2/meshes/4C2_Link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://EG2-4C2/meshes/4C2_Link2.STL,,EG2-4C2-02(2)-1,4C2_link2,4C2_axis2,4C2_Joint2,revolute,-0.03,-0.009,0.081,0,0,0,4C2_baselink,0,-1,0,1,1,0,0.82,,,,,,,,
4C2_Link3,-0.0087435,0.009,0.013955,0,0,0,0.0038971,5.6941E-07,1.0666E-18,2.6891E-07,6.2305E-07,-1.8084E-18,3.0871E-07,0,0,0,0,0,0,package://EG2-4C2/meshes/4C2_Link3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://EG2-4C2/meshes/4C2_Link3.STL,,EG2-4C2-04(2)-1,4C2_link3,4C2_axis3,4C2_Joint3,revolute,0.03,-0.009,0.081,0,0,0,4C2_baselink,0,-1,0,1,1,-0.82,0,,,,,,,,
4C2_Link4,-0.0087669,0.009,0.013992,0,0,0,0.0024292,5.1061E-07,-9.5279E-19,2.508E-07,5.7398E-07,7.6863E-19,2.6747E-07,0,0,0,0,0,0,package://EG2-4C2/meshes/4C2_Link4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://EG2-4C2/meshes/4C2_Link4.STL,,EG2-4C2-05(2)-1,4C2_link4,4C2_axis4,4C2_Joint4,revolute,0.04,-0.009,0.079,0,0,0,4C2_baselink,0,-1,0,1,1,-0.82,0,,,,,,,,
4C2_Link6,-0.011864,0.006,0.011367,0,0,0,0.0045068,5.1288E-07,-9.8137E-14,9.4703E-08,5.3203E-07,6.2119E-14,2.009E-07,0,0,0,0,0,0,package://EG2-4C2/meshes/4C2_Link6.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://EG2-4C2/meshes/4C2_Link6.STL,,EG2-4C2-06(2)-1,4C2_link6,4C2_axis6,4C2_Joint6,revolute,-0.0223,0.003,0.035591,0,0,0,4C2_Link4,0,-1,0,1,1,0,0.82,,,,,,,,
