Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0014213,-0.00010164,0.050087,0,0,0,0.66252,0.00099641,-3.2815E-06,1.0053E-05,0.0010164,-1.2859E-06,0.00067934,0,0,0,0,0,0,package://RML63II-B/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://RML63II-B/meshes/base_link.STL,,63连杆1-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-0.043396,-0.0074194,-0.012727,0,0,0,0.92304,0.00093345,0.00032512,-0.00049758,0.0021247,-0.00010865,0.001984,0,0,0,0,0,0,package://RML63II-B/meshes/link_1.STL,1,1,1,1,0,0,0,0,0,0,package://RML63II-B/meshes/link_1.STL,,63连杆2-1,link_1,joint_1,joint_1,revolute,0,0,0.172,0,0,0,base_link,0,0,1,60,3.14,-3.106,3.106,,,,,,,,
link_2,0.17251,1.4577E-06,-0.090387,0,0,0,1.5578,0.00097967,1.2103E-07,2.8735E-05,0.026359,-4.4617E-09,0.026576,0,0,0,0,0,0,package://RML63II-B/meshes/link_2.STL,1,1,1,1,0,0,0,0,0,0,package://RML63II-B/meshes/link_2.STL,,63连杆3-1,link_2,joint_2,joint_2,revolute,-0.086,0,0,1.5708,-1.5708,0,link_1,0,0,1,60,3.14,-3.106,3.106,,,,,,,,
link_3,0.036479,-0.021595,-0.005343,0,0,0,0.71553,0.00081894,-0.00043229,0.00015723,0.0011167,-9.575E-05,0.0013828,0,0,0,0,0,0,package://RML63II-B/meshes/link_3.STL,1,1,1,1,0,0,0,0,0,0,package://RML63II-B/meshes/link_3.STL,,63连杆4-1,link_3,joint_3,joint_3,revolute,0.38,0,0,0,0,1.5708,link_2,0,0,1,30,3.14,-3.106,2.5307,,,,,,,,
link_4,-2.5109E-06,-0.033557,-0.18296,0,0,0,0.69695,0.0071529,-5.219E-08,7.2831E-08,0.006708,-0.0016524,0.00074655,0,0,0,0,0,0,package://RML63II-B/meshes/link_4.STL,1,1,1,1,0,0,0,0,0,0,package://RML63II-B/meshes/link_4.STL,,63连杆5-1,link_4,joint_4,joint_4,revolute,0.069,-0.405,0,1.5708,0,0,link_3,0,0,1,30,3.14,-3.106,3.106,,,,,,,,
link_5,-5.1123E-07,0.02789,-0.0066315,0,0,0,0.35669,0.00041098,9.0504E-09,2.5437E-09,0.00017907,8.7582E-05,0.00038034,0,0,0,0,0,0,package://RML63II-B/meshes/link_5.STL,1,1,1,1,0,0,0,0,0,0,package://RML63II-B/meshes/link_5.STL,,63连杆6-1,link_5,joint_5,joint_5,revolute,0,0,0,1.5708,0,3.1416,link_4,0,0,1,10,3.14,-3.106,3.106,,,,,,,,
link_6,-0.00081848,-1.3371E-05,-0.012683,0,0,0,0.064802,2.102E-05,2.2747E-08,-2.437E-08,1.7985E-05,-1.0162E-08,3.1728E-05,0,0,0,0,0,0,package://RML63II-B/meshes/link_6.STL,1,1,1,1,0,0,0,0,0,0,package://RML63II-B/meshes/link_6.STL,,末端法兰件--最新版-1,link_6,,joint_6,fixed,0,0.115,0,1.5708,0,3.1416,link_5,0,0,0,10,3.14,-3.106,3.106,,,,,,,,
