Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0004101,-8.4575E-05,0.050471,0,0,0,0.70509,0.0011075,-3.3776E-06,2.5165E-05,0.001109,-1.7082E-06,0.00075402,0,0,0,0,0,0,package://ECO65-B/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://ECO65-B/meshes/base_link.STL,,11-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-0.029611,-0.0023108,-0.010954,0,0,0,0.78907,0.00081987,0.00012085,-0.00025244,0.0020942,-2.1838E-05,0.001826,0,0,0,0,0,0,package://ECO65-B/meshes/link_1.STL,1,1,1,1,0,0,0,0,0,0,package://ECO65-B/meshes/link_1.STL,,22-1,link_1,joint_1,joint_1,revolute,0,0,0.1625,0,0,0,base_link,0,0,1,60,3.14,-3.106,3.106,,,,,,,,
link_2,0.12064,-9.9949E-06,-0.069035,0,0,0,1.3802,0.001091,-1.127E-06,0.00033538,0.01371,-1.1532E-08,0.013907,0,0,0,0,0,0,package://ECO65-B/meshes/link_2.STL,1,1,1,1,0,0,0,0,0,0,package://ECO65-B/meshes/link_2.STL,,liangan3-1,link_2,joint_2,joint_2,revolute,-0.086,0,0,0,-1.5708,-1.5708,link_1,0,0,1,60,3.14,-3.106,2.356,,,,,,,,
link_3,0.10593,-9.9557E-06,0.024581,0,0,0,1.0357,0.00070918,-7.1283E-07,0.00051792,0.0085885,-4.7498E-08,0.0086136,0,0,0,0,0,0,package://ECO65-B/meshes/link_3.STL,1,1,1,1,0,0,0,0,0,0,package://ECO65-B/meshes/link_3.STL,,liangan4-1,link_3,joint_3,joint_3,revolute,0.26,-2.3252E-05,0,0,0,0,link_2,0,0,1,30,3.14,-2.792,2.53,,,,,,,,
link_4,1.1437E-07,-0.0098794,0.013445,0,0,0,0.27261,0.00023835,1.6845E-09,6.2757E-09,0.00019072,4.0013E-05,0.0001713,0,0,0,0,0,0,package://ECO65-B/meshes/link_4.STL,1,1,1,1,0,0,0,0,0,0,package://ECO65-B/meshes/link_4.STL,,55-1,link_4,joint_4,joint_4,revolute,0.24,-2.2489E-05,-0.058901,0,0,1.5708,link_3,0,0,1,10,3.14,-3.106,3.106,,,,,,,,
link_5,9.7292E-07,0.00033896,-0.014682,0,0,0,0.31327,0.00030954,5.1008E-09,-1.2252E-08,0.00024543,2.2854E-06,0.00020339,0,0,0,0,0,0,package://ECO65-B/meshes/link_5.STL,1,1,1,1,0,0,0,0,0,0,package://ECO65-B/meshes/link_5.STL,,66-1;000-1,link_5,joint_5,joint_5,revolute,-1.0307E-05,-0.11,0,1.5708,0,0,link_4,0,0,1,10,3.14,-3.106,3.106,,,,,,,,
link_6,0.00081557,1.3247E-05,-0.012705,0,0,0,0.065037,2.1144E-05,2.3058E-08,2.5472E-08,1.8109E-05,1.0187E-08,3.19E-05,0,0,0,0,0,0,package://ECO65-B/meshes/link_6.STL,1,1,1,1,0,0,0,0,0,0,package://ECO65-B/meshes/link_6.STL,,复件 __________ ______^ECO63URDF-1,link_6,joint_6,joint_6,revolute,0,0.0795,0,-1.5708,0,0,link_5,0,0,1,10,3.14,-6.28,6.28,,,,,,,,
