Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link 0,0.000702493325823606,8.70084346876248E-05,0.0415520513935271,0,0,0,0.617033368539211,0.000789836390815556,3.86316131199184E-06,3.21029967725973E-05,0.000773296481438641,-2.6999912021536E-06,0.00070603989529875,0,0,0,0,0,0,package://GEN72/meshes/link 0.STL,1,1,1,1,0,0,0,0,0,0,package://GEN72/meshes/link 0.STL,,00-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link 1,4.68738708666344E-07,-5.61515321378709E-05,-0.0517918499656395,0,0,0,0.54994312997524,0.00111167293667467,-1.7809620802242E-09,-8.45267903175653E-09,0.00117264804659634,1.59989313798594E-06,0.000419695190171004,0,0,0,0,0,0,package://GEN72/meshes/Link 1.STL,1,1,1,1,0,0,0,0,0,0,package://GEN72/meshes/Link 1.STL,,01-1,坐标系1,基准轴1,joint 1,revolute,0,0,0.2052,0,0,0,link 0,0,0,1,21,3.141,-3.0014,3.0014,,,,,,,,
Link 2,-2.88545974623443E-07,-0.0579134089220325,3.7591516112095E-06,0,0,0,0.550586463383527,0.00141428130939839,-5.05132406196311E-08,-4.32548551993881E-08,0.000521773824108223,-9.09462967591626E-09,0.00126884568146693,0,0,0,0,0,0,package://GEN72/meshes/Link 2.STL,1,1,1,1,0,0,0,0,0,0,package://GEN72/meshes/Link 2.STL,,02-1,坐标系2,基准轴2,joint 2,revolute,0,0,0,-1.5708,0,0,Link 1,0,0,1,21,3.141,-1.8323,1.8323,,,,,,,,
Link 3,0.0107298626179935,9.62004722864456E-07,-0.069559422937022,0,0,0,0.82968557502544,0.00280001568966415,-1.44008311104314E-08,-0.000595023175409376,0.00283701746914158,-2.19949205300806E-08,0.00105779244171461,0,0,0,0,0,0,package://GEN72/meshes/Link 3.STL,1,1,1,1,0,0,0,0,0,0,package://GEN72/meshes/Link 3.STL,,03-1,坐标系3,基准轴3,joint 3,revolute,0,-0.28,0,1.5708,0,0,Link 2,0,0,1,21,3.141,-3.0014,3.0014,,,,,,,,
Link 4,-0.013111895152949,0.0451503357451828,-2.31513926694886E-07,0,0,0,0.290621238098372,0.000529647096878416,8.2565173990464E-05,6.55720933004336E-10,0.000194605004006169,8.64015145338643E-10,0.000590168359619798,0,0,0,0,0,0,package://GEN72/meshes/Link 4.STL,1,1,1,1,0,0,0,0,0,0,package://GEN72/meshes/Link 4.STL,,04-1,坐标系4,基准轴4,Joint 4,revolute,0.04,0,0,1.5708,0,0,Link 3,0,0,1,21,3.141,-2.8792,0.9597,,,,,,,,
Link 5,-1.18843087107065E-06,-8.54985729573327E-05,-0.0632725760574326,0,0,0,0.451198262168411,0.00129051318495878,3.48651894301855E-09,-2.37821560468987E-10,0.00115953902595173,2.42057250676718E-06,0.000327049806404794,0,0,0,0,0,0,package://GEN72/meshes/Link 5.STL,1,1,1,1,0,0,0,0,0,0,package://GEN72/meshes/Link 5.STL,,05-1,坐标系5,基准轴5,Joint 5,revolute,-0.018999,0.2525,0,-1.5708,0,0,Link 4,0,0,1,5,3.926,-3.0014,3.0014,,,,,,,,
Link 6,0.0242920438561028,0.00255443844699678,-6.53849925857909E-05,0,0,0,0.20756793295766,7.4545186661251E-05,-2.26966452986669E-05,-2.99738463100112E-07,0.000286536832716846,-3.37463552033455E-08,0.000286928462037518,0,0,0,0,0,0,package://GEN72/meshes/Link 6.STL,1,1,1,1,0,0,0,0,0,0,package://GEN72/meshes/Link 6.STL,,06-1,坐标系6,基准轴6,Joint 6,revolute,0,0,0,1.5708,-1.5708,0,Link 5,0,0,1,5,3.926,-1.707,1.783,,,,,,,,
Link 7,0.000244187871067503,-1.47824953810761E-05,-0.036505354974056,0,0,0,0.227931411133777,0.000158572516077262,-6.42957774009468E-08,-6.54438754760675E-07,0.000157353806398707,3.51390489977043E-08,0.000109722972578842,0,0,0,0,0,0,package://GEN72/meshes/Link 7.STL,1,1,1,1,0,0,0,0,0,0,package://GEN72/meshes/Link 7.STL,,07-1,坐标系7,基准轴7,Joint 7,revolute,0.067,-0.0787,0,1.5708,0,0,Link 6,0,0,1,5,3.926,-3.0014,3.0014,,,,,,,,
