Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00020481,-8.2366E-05,0.043092,0,0,0,0.60423,0.00082415,-2.9296E-06,2.8721E-05,0.00082056,-2.2126E-06,0.00068567,0,0,0,0,0,0,package://RML63III-B/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://RML63III-B/meshes/base_link.STL,,_X2_8fde6746_X0_1-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-0.030909,-0.001303,-0.0053125,0,0,0,0.65441,0.00053827,6.5084E-05,-0.00010378,0.0016213,-6.37E-06,0.0015153,0,0,0,0,0,0,package://RML63III-B/meshes/link_1.STL,1,1,1,1,0,0,0,0,0,0,package://RML63III-B/meshes/link_1.STL,,_X2_8fde6746_X0_2-1,link_1,joint_1,joint_1,revolute,0,0,0.1625,0,0,0,base_link,0,0,1,60,3.14,-3.106,3.106,,,,,,,,
link_2,0.16852,-5.317E-07,-0.077258,0,0,0,1.6081,0.0010484,-7.659E-08,-1.6499E-06,0.027938,1.0178E-08,0.028118,0,0,0,0,0,0,package://RML63III-B/meshes/link_2.STL,1,1,1,1,0,0,0,0,0,0,package://RML63III-B/meshes/link_2.STL,,_X2_8fde6746_X0_3-1,link_2,joint_2,joint_2,revolute,-0.086,0,0,1.5708,-1.5708,0,link_1,0,0,1,60,3.14,-3.106,3.106,,,,,,,,
link_3,0.034431,-0.010926,-0.0056203,0,0,0,0.64108,0.00052498,-0.0002528,0.00016018,0.00096645,-6.3596E-05,0.0010598,0,0,0,0,0,0,package://RML63III-B/meshes/link_3.STL,1,1,1,1,0,0,0,0,0,0,package://RML63III-B/meshes/link_3.STL,,_X2_8fde6746_X0_4-1,link_3,joint_3,joint_3,revolute,0.38,0,0,0,0,1.5708,link_2,0,0,1,30,3.14,-3.106,2.5307,,,,,,,,
link_4,1.7672E-06,-0.03048,-0.1974,0,0,0,0.91612,0.0096376,5.6001E-09,-5.7296E-09,0.0090281,-0.002284,0.0010957,0,0,0,0,0,0,package://RML63III-B/meshes/link_4.STL,1,1,1,1,0,0,0,0,0,0,package://RML63III-B/meshes/link_4.STL,,_X2_8fde6746_X0_5-1,link_4,joint_4,joint_4,revolute,0.068998,-0.405,0,1.5708,0,0,link_3,0,0,1,30,3.14,-3.106,3.106,,,,,,,,
link_5,3.079E-06,0.025127,-0.0072566,0,0,0,0.34506,0.00046531,6.3629E-09,-2.1532E-09,0.00019924,6.4224E-05,0.00041238,0,0,0,0,0,0,package://RML63III-B/meshes/link_5.STL,1,1,1,1,0,0,0,0,0,0,package://RML63III-B/meshes/link_5.STL,,_X2_8fde6746_X0_6-1,link_5,joint_5,joint_5,revolute,0,0,0,1.5708,0,3.1416,link_4,0,0,1,10,3.14,-3.106,-3.106,,,,,,,,
link_6,-0.00081553,-1.3365E-05,-0.012705,0,0,0,0.065037,2.1144E-05,2.2775E-08,-2.5446E-08,1.8109E-05,-1.0239E-08,3.19E-05,0,0,0,0,0,0,package://RML63III-B/meshes/link_6.STL,1,1,1,1,0,0,0,0,0,0,package://RML63III-B/meshes/link_6.STL,,_X2_672b7aef6cd551704ef6_X0_ _X2_65b968484e00_X0_-1,link_6,joint_6,joint_6,revolute,0,0.115,0,1.5708,0,3.1416,link_5,0,0,1,10,3.14,-6.28,6.28,,,,,,,,
