Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00020533,-8.2462E-05,0.042566,0,0,0,0.60423,0.00082414,-2.9336E-06,2.8699E-05,0.0008206,-2.2123E-06,0.00068569,0,0,0,0,0,0,package://ECO63-B/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://ECO63-B/meshes/base_link.STL,,1-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-0.03095,-0.0012718,-0.0052433,0,0,0,0.65636,0.00053892,6.4948E-05,-0.00010405,0.0016219,-6.1449E-06,0.0015155,0,0,0,0,0,0,package://ECO63-B/meshes/link_1.STL,1,1,1,1,0,0,0,0,0,0,package://ECO63-B/meshes/link_1.STL,,2-1,link_1,joint_1,joint_1,revolute,0,0,0.1625,0,0,0,base_link,0,0,1,60,3.14,-3.106,3.106,,,,,,,,
link_2,0.19469,2.5119E-07,-0.070875,0,0,0,1.9491,0.0014968,-3.1203E-07,0.00045117,0.040639,7.9956E-09,0.040992,0,0,0,0,0,0,package://ECO63-B/meshes/link_2.STL,1,1,1,1,0,0,0,0,0,0,package://ECO63-B/meshes/link_2.STL,,3-1,link_2,joint_2,joint_2,revolute,-0.086,0,0,1.5708,-1.5708,0,link_1,0,0,1,60,3.14,-3.106,2.356,,,,,,,,
link_3,0.17957,-5.3086E-07,0.029298,0,0,0,1.3509,0.00078797,-1.7821E-07,0.00042107,0.02198,-2.2274E-08,0.022166,0,0,0,0,0,0,package://ECO63-B/meshes/link_3.STL,1,1,1,1,0,0,0,0,0,0,package://ECO63-B/meshes/link_3.STL,,4-1,link_3,joint_3,joint_3,revolute,0.41,0,0,0,0,0,link_2,0,0,1,30,3.14,-2.932,2.7576,,,,,,,,
link_4,1.1758E-06,-0.0076532,0.014451,0,0,0,0.25407,0.00021059,-3.7741E-09,7.2126E-10,0.00018157,3.1955E-05,0.00014698,0,0,0,0,0,0,package://ECO63-B/meshes/link_4.STL,1,1,1,1,0,0,0,0,0,0,package://ECO63-B/meshes/link_4.STL,,5-1,link_4,joint_4,joint_4,revolute,0.38,0,-0.058899,0,0,1.5708,link_3,0,0,1,10,3.14,-3.106,3.106,,,,,,,,
link_5,-7.9628E-06,0.0036631,-0.013622,0,0,0,0.33768,0.00029528,1.1582E-08,2.3967E-09,0.00021191,5.3925E-05,0.00023181,0,0,0,0,0,0,package://ECO63-B/meshes/link_5.STL,1,1,1,1,0,0,0,0,0,0,package://ECO63-B/meshes/link_5.STL,,6-1,link_5,joint_5,joint_5,revolute,0,-0.11,0,1.5708,0,0,link_4,0,0,1,10,3.14,-3.106,3.106,,,,,,,,
link_6,0.00081557,1.3324E-05,-0.012705,0,0,0,0.065037,2.1144E-05,2.2773E-08,2.5472E-08,1.8109E-05,1.019E-08,3.19E-05,0,0,0,0,0,0,package://ECO63-B/meshes/link_6.STL,1,1,1,1,0,0,0,0,0,0,package://ECO63-B/meshes/link_6.STL,,_X2_666e901a672b7aef_X0_-1,link_6,joint_6,joint_6,revolute,0,0.0795,0,-1.5708,0,0,link_5,0,0,1,10,3.14,-6.28,6.28,,,,,,,,
