Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
baselink,0.000599817353042905,-9.29318232073179E-05,0.0433014167978046,0,0,0,0.611273147318723,0.000802124722490711,3.02805759603546E-06,-2.87471743737186E-05,0.000805018605821677,1.97489777184639E-06,0.00066167330387865,0,0,0,0,0,0,package://eco656weili/meshes/baselink.STL,1,1,0.945098039215686,1,0,0,0,0,0,0,package://eco656weili/meshes/baselink.STL,,1-1,baselink,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.022858,-2.0784E-06,-0.013658,0,0,0,1.5078,0.00081398,-1.9024E-05,0.00022746,0.001848,2.0444E-06,0.0015286,0,0,0,0,0,0,package://eco656weili/meshes/Link1.STL,1,1,0.9451,1,0,0,0,0,0,0,package://eco656weili/meshes/Link1.STL,,2-1,Link1,axis1,joint1,revolute,0,0,0.1625,0,0,0,baselink,0,0,-1,100,1,-3.14,3.14,,,,,,,,
Link2,-1.6049E-06,0.10336,0.067332,0,0,0,2.0227,0.012821,-7.2979E-08,1.1499E-08,0.0011237,-0.00033755,0.012933,0,0,0,0,0,0,package://eco656weili/meshes/Link2.STL,1,1,0.9451,1,0,0,0,0,0,0,package://eco656weili/meshes/Link2.STL,,3-1,Link2,axis2,joint2,revolute,-0.086,0,0,1.5708,0,0,Link1,3.5522E-05,0,-1,100,1,-3.14,1.92,,,,,,,,
Link3,9.8625E-08,-0.10374,0.018603,0,0,0,1.8858,0.0094046,1.4618E-10,1.7723E-09,0.0008412,0.00068646,0.0092481,0,0,0,0,0,0,package://eco656weili/meshes/Link3.STL,1,1,0.9451,1,0,0,0,0,0,0,package://eco656weili/meshes/Link3.STL,,4-1,Link3,axis3,joint3,revolute,0,0.260000000001112,0,3.14159265358979,0,1.5707963267949,Link2,0,-3.55216483642536E-05,-0.999999999364838,100,1,-2.79,2.53,,,,,,,,
Link4,-0.0069819,-0.016329,0.0067507,0,0,0,0.5701,0,0,0,0,0,0,0,0,0,0,0,0,package://eco656weili/meshes/Link4.STL,1,1,0.9451,1,0,0,0,0,0,0,package://eco656weili/meshes/Link4.STL,,5-1,Link4,axis4,joint4,revolute,0,-0.24,-0.05888,0,0,1.5708,Link3,-3.5522E-05,0,-1,100,1,-2.44,2.44,,,,,,,,
Link5,6.1046E-07,0.006642,-0.012647,0,0,0,0.6414,0.00024751,-5.6849E-09,5.4838E-10,0.00017648,-2.8552E-05,0.00019295,0,0,0,0,0,0,package://eco656weili/meshes/Link5.STL,0.29804,0.28627,0.28235,1,0,0,0,0,0,0,package://eco656weili/meshes/Link5.STL,,6-1,Link5,axis5,joint5,revolute,0,-0.11,0,1.5708,0,0,Link4,0,0,-1,100,1,-3.14,3.14,,,,,,,,
Link6,0.00034235,-0.00018942,-0.028577,0,0,0,0.19,7.0593E-05,-1.192E-06,-8.0833E-07,6.9259E-05,4.3436E-07,6.1808E-05,0,0,0,0,0,0,package://eco656weili/meshes/Link6.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://eco656weili/meshes/Link6.STL,,00-1,Link6,axis6,joint6,revolute,0,0.108,0,-1.5708,0,0,Link5,-3.5522E-05,0,-1,100,1,-3.14,3.14,,,,,,,,
